linea,frase,corpus,menu,status,items,unknown,needs_review,fail_safe,tiempo_ms
19,12123 combo familiar con siete gaseosa con 5 algo rico con 5x ensaalada cesar (),adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 7}, {""product"": ""Ensalada César"", ""quantity"": 5}]","[""12123 combo familiar  con"", ""5 algo rico  con""]",False,False,1.553
20,12123 hamburgesa doble carne | 777 hamburgesa mega | 2 hamburguesa doble carne | un par de agua mineral | 4x agua miinerral | 12123 hamburguesa clasica ???,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 25025}, {""product"": ""Agua Mineral"", ""quantity"": 6}]",[],False,False,2.279
21,12123 hamburguesa doble pollo mañana,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 12123}]",[],False,False,0.601
22,12123 hambuurguuesaa megga | 60x soda | quince pizzza de jaamon y quee 🍕🍔,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 12123}, {""product"": ""Coca Cola"", ""quantity"": 60}]","[""quince piza de jaamon y quee""]",False,False,1.461
23,12123x hamburguesa ddoble po y 2x ensalada cesar y 3 piza y 10 cerveza y 2x cola y 8 cocacola mañana,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 12123}, {""product"": ""Ensalada César"", ""quantity"": 2}, {""product"": ""Pizza Margarita"", ""quantity"": 3}, {""product"": ""Coca Cola"", ""quantity"": 10}]","[""10 cerveza""]",True,False,1.923
24,15 la mega,adversarial_2k,demo,needs_clarification,[],"[""15 la mega""]",True,True,0.381
25,15 pizzaa hawaiana * 1 ensalada césar ...,adversarial_2k,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 15}, {""product"": ""Ensalada César"", ""quantity"": 1}]",[],False,False,1.12
26,15 refresco con 3 hbogruesa ...,adversarial_2k,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 15}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 3}]",[],False,False,0.687
27,15x piza haawaaiana tambien quiero 12123 la mega tambien quiero diez colaa tambien quiero 2x hamburgesa mega gracias,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 15}, {""product"": ""Coca Cola"", ""quantity"": 10}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 2}]","[""12123 la mega""]",False,False,1.713
28,2 burrger y 10x cocaa cola y 777 eso y 2333 pizzahawaiana y 8 eso y 8 piza de jamon y queso para llevar,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 2}, {""product"": ""Coca Cola"", ""quantity"": 10}, {""product"": ""Pizza Hawaiana"", ""quantity"": 2333}]","[""8 piza de jamon y queso para llevar""]",False,False,1.954
29,2 ensaalada cesar,adversarial_2k,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 2}]",[],False,False,0.969
30,* 5 piizzza  hawaaianna,adversarial_2k,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 5}]",[],False,False,0.546
31,* 1 cola,adversarial_2k,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 1}]",[],False,False,0.288
32,* 7 cola 🍕🍔,adversarial_2k,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 7}]",[],False,False,0.293
33,2 ensalada césar aparte diez cocacola aparte 15 hamburgesa doble pollo aparte diez la mega aparte 8 ccocaccola gracias,adversarial_2k,demo,needs_clarification,"[{""product"": ""Ensalada César"", ""quantity"": 2}, {""product"": ""Coca Cola"", ""quantity"": 18}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 15}]","[""diez la mega""]",False,False,2.401
34,2 hamburguesas sin cebolla extra queso,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 2}]",[],False,False,0.761
35,2 papas fritas y agua 3 hamburguesas,adversarial_2k,demo,needs_clarification,"[{""product"": ""Agua Mineral"", ""quantity"": 1}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 3}]","[""2 papas fritas""]",False,False,0.886
36,2 para llevar 3 para aqui,adversarial_2k,demo,needs_clarification,[],"[""2 para llevar"", ""3 para aqui""]",True,True,0.778
37,2 piiza hhawaiana e 5 hbogruesa e 1 ppizaa hawaiana e x2333 piza hawaiana e 777x hamburguesa doble carne e 7 pizza margarita mañana,adversarial_2k,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2336}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 782}, {""product"": ""Pizza Margarita"", ""quantity"": 7}]",[],False,False,2.283
38,2 pizza margarita aparte x8 haamburgesa clasica aparte 2333 combo familiar porfa,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 2}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 8}]","[""2333 combo familiar porfa""]",False,False,1.263
39,2333 combo familiar con 2x combo familiar con 8 combo familiar con tres coca cola con 4 haamburgesa clasica con 60 pizzahawaiana porfa,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 3}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 4}, {""product"": ""Pizza Hawaiana"", ""quantity"": 60}]","[""2333 combo familiar  con"", ""2x combo familiar  con"", ""8 combo familiar  con""]",False,False,3.062
40,2333 papas fritas gracias,adversarial_2k,demo,needs_clarification,[],"[""2333 papas fritas gracias""]",True,True,0.791
41,2333 piza hawaiana * 15 habasurguesa doble pollo * x2333 ensalada cesar * 15 refresco * 4 piza gracias,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 2333}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 15}, {""product"": ""Ensalada César"", ""quantity"": 2333}, {""product"": ""Coca Cola"", ""quantity"": 15}]","[""4 piza gracias""]",False,False,3.711
42,2x agua minerraall y aparte 7 lo mismo y aparte 777 cervezaa y aparte 12123 hamburguesa doble pollo y aparte x5 ensalada césar y aparte 3 pizza hawaiana ???,adversarial_2k,demo,needs_clarification,"[{""product"": ""Agua Mineral"", ""quantity"": 2}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 12123}, {""product"": ""Ensalada César"", ""quantity"": 5}, {""product"": ""Pizza Hawaiana"", ""quantity"": 3}]","[""aparte"", ""7 lo mismo"", ""aparte"", ""777 cervezaa"", ""aparte"", ""aparte"", ""aparte""]",False,False,3.799
43,2x coca cola aparte 7 agua mineral aparte cinco cocaacola aparte 12 haamburguesa doble carne aparte 777 la que tienee ppolloo aparte 60 pizza ranchera gracias,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 7}, {""product"": ""Agua Mineral"", ""quantity"": 7}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 12}, {""product"": ""Pizza Margarita"", ""quantity"": 60}]","[""777 la que tienee ppolloo""]",True,False,2.412
44,"3 coca cola, 2 gaseosa",adversarial_2k,demo,ok,"[{""product"": ""Coca Cola"", ""quantity"": 5}]",[],False,False,0.59
45,3 pizza de jamon y queso tambien quiero 3 habasurguesa doble pollo tambien quiero 15 cocacola 🍕🍔,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 3}, {""product"": ""Coca Cola"", ""quantity"": 15}]","[""3 pizza de jamon y queso""]",False,False,1.325
46,3 pizzaa de jamon y queso + 4x piza de jamon y queso + unos cuantos pizzahawaiana 🍕🍔,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 1}]","[""3 pizzaa de jamon y queso"", ""4x piza de jamon y queso""]",False,False,2.0
47,3x ensalada césar e 7 refrescoaa e 2 agua mineral (),adversarial_2k,demo,ok,"[{""product"": ""Ensalada César"", ""quantity"": 3}, {""product"": ""Coca Cola"", ""quantity"": 7}, {""product"": ""Agua Mineral"", ""quantity"": 2}]",[],False,False,1.46
48,4 cerveza + 7x ppizzaa  de jamon y que sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""4 cerveza"", ""7x ppizzaa de jamon y que sin cebolla""]",True,True,1.618
49,4x piza hawaiana porfa,adversarial_2k,demo,ok,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 4}]",[],False,False,0.702
50,5 algo rico y 60 pizza ranchera mañana,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 60}]","[""5 algo rico""]",True,False,2.336
51,5 combo faamiliar * dos papas fritas * 10 hamburgueesa megga mañana,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 10}]","[""5 combo faamiliar"", ""dos papas fritas""]",False,False,1.848
52,5 gaseosa * x12 pizza dde jjamon y que * 2 hbogruesaa * 2 pizzaa mmexxiicana * 7 haamburguesa doble pollo * 5x hbogruesa porfa,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 5}, {""product"": ""Pizza Margarita"", ""quantity"": 12}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 14}]","[""que"", ""2 pizzaa mmexxiicana""]",True,False,2.397
53,5 paapas fritas ademas 1 gaseosa ademas 2x taacos ademas una docena de pizaa hawaiana para llevar,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 1}, {""product"": ""Pizza Hawaiana"", ""quantity"": 12}]","[""5 paapas fritas"", ""2x taacos""]",False,False,1.608
54,5x burger,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 5}]",[],False,False,0.182
55,60 hammburgeessa cllasiicaa aparte 3x hamburguesa clasica aparte 8 hamburguesa mega gracias,adversarial_2k,demo,ok,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 71}]",[],False,False,1.229
56,60 laa mega + un par de cerveza + x8 la qque tiene pollo + 4 pizzaa ranchera porfa,adversarial_2k,demo,needs_clarification,[],"[""60 laa mega"", ""2 cerveza"", ""x8 la qque tiene pollo"", ""4 pizzaa ranchera porfa""]",True,True,1.809
57,60 piza hawaiana ; 2333x combo familiar ; 7 ttaaccos mañana,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Hawaiana"", ""quantity"": 60}]","[""2333x combo familiar"", ""7 ttaaccos manana""]",False,False,1.367
58,7 algo rico e 5 pizza para llevar,adversarial_2k,demo,needs_clarification,[],"[""7 algo rico"", ""5 pizza para llevar""]",True,True,1.131
59,7 cocacola aparte 7 llaa mega aparte 8 pizzahawaiana 🍕🍔,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 7}, {""product"": ""Pizza Hawaiana"", ""quantity"": 8}]","[""7 llaa mega""]",False,False,1.476
60,7 la megaa y 1 taacos mañana,adversarial_2k,demo,needs_clarification,[],"[""7 la megaa"", ""1 taacos manana""]",True,True,1.336
61,7 pizza mexicana e 10 cerveza (),adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 7}]","[""10 cerveza""]",True,False,1.141
62,777 hbogruesa + 3 pizzza mexicana ???,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 777}]","[""3 piza mexicana""]",False,False,0.837
63,777 taacos tambien quiero 2x hamburgesa clasica tambien quiero 10 ensalada cesar tambien quiero siete la mega,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 2}, {""product"": ""Ensalada César"", ""quantity"": 10}]","[""777 taacos"", ""siete la mega""]",False,False,1.458
64,8 cerveza (),adversarial_2k,demo,needs_clarification,[],"[""8 cerveza""]",True,True,0.392
65,8 coca cola * 2333 tacos * 2 combo familiar * 8 pizza ???,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 8}, {""product"": ""Pizza Hawaiana"", ""quantity"": 8}]","[""2333 tacos"", ""2 combo familiar""]",False,False,1.103
66,8 combo familiar mañana,adversarial_2k,demo,needs_clarification,[],"[""8 combo familiar manana""]",True,True,0.638
67,8 haamburguesa clasica y aparte 8x algo rico y aparte 4 cocacola ...,adversarial_2k,demo,needs_clarification,"[{""product"": ""Hamburguesa Clásica"", ""quantity"": 8}, {""product"": ""Coca Cola"", ""quantity"": 4}]","[""aparte"", ""8x algo rico"", ""aparte""]",False,False,1.525
68,8 refresco y aparte 777 ensalada cesar y aparte 2 lo mismo y aparte 5 la que tiene pollo y aparte 2 piza mexicana y aparte 15 habasurguesa doble pollo porfa,adversarial_2k,demo,needs_clarification,"[{""product"": ""Coca Cola"", ""quantity"": 8}, {""product"": ""Ensalada César"", ""quantity"": 777}, {""product"": ""Hamburguesa Clásica"", ""quantity"": 15}]","[""aparte"", ""aparte"", ""2 lo mismo"", ""aparte"", ""5 la que tiene pollo"", ""aparte"", ""2 piza mexicana"", ""aparte""]",False,False,3.853
69,???,adversarial_2k,demo,needs_clarification,[],"[""texto no interpretable""]",True,True,0.033
70,CONFIRMAR ORD-12345,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.036
71,CONFIRMAR ORD-ABC123 1 aguaa  minerall con 8 ensaalada césar con 3 hamburguesa con 12123 colaa ...,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.088
72,CONFIRMAR ORD-ABC123 1 gaseosa * 12x pizza hawaiana sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.053
73,CONFIRMAR ORD-ABC123 1 soda con 2 pizza de jamon y queso con ocho gaseosa con 777 pizza de jamon y queso con 3x ensalada césar con 3 pizza hawaiana mañana,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.154
74,CONFIRMAR ORD-ABC123 10 cerveza * 7x hamburguesa clasica * 12 piza hawaiana (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.062
75,CONFIRMAR ORD-ABC123 10 combo familiar 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.033
76,CONFIRMAR ORD-ABC123 10 esoaa * x15 haamburguesa doble carne * 1 hamburguesa clasica * 1 laa que tiene pollo * 3 pizza ranchera 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.12
77,CONFIRMAR ORD-ABC123 10 hamburguesa clasica ???,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.032
78,CONFIRMAR ORD-ABC123 10 pizza tambien quiero 12 pizza tambien quiero 7 tacos tambien quiero 7x ensaalada cesar tambien quiero 2 pizzaa de jamon y queso ???,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.138
79,CONFIRMAR ORD-ABC123 10 pizzaa margarita e 777 refresco e 60 pizzaa ranchera e 4x algo rico e 3 esso ...,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.104
80,CONFIRMAR ORD-ABC123 10x cerveza * 3 cocca collaa porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.047
81,CONFIRMAR ORD-ABC123 12 cocaacola e 60 ensaalada cesar porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.275
82,CONFIRMAR ORD-ABC123 12 ensalada césar e 10 hamburguesa doble carne e ocho papas fritaass ...,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.132
83,CONFIRMAR ORD-ABC123 12 haamburguesa mega | 4 hamburgesa clasica | 2333 pizzahawaiana | 4 hbogruesa sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.09
84,CONFIRMAR ORD-ABC123 12 pizza ranchera y 1 hbbogrueesa gracias,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.119
85,CONFIRMAR ORD-ABC123 12 pizzaahawaiana y aparte 15x pizzaahawaiana y aparte 1 eso para llevar,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.098
86,CONFIRMAR ORD-ABC123 12123 gaseosa aparte 1 pizza de jamon y queso sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.076
87,CONFIRMAR ORD-ABC123 12123 haamburguesa cllaasiica ademas 3 ppizzaahawaaiannaa ademas 7 ensalada cesar ...,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.082
88,CONFIRMAR ORD-ABC123 15 cerveza * 10 habasurguesa doble pollo * 8x pizzzahawwaiana 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.166
89,CONFIRMAR ORD-ABC123 15 gaseosa & 2 hamburguesa & cinco piza margarita,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.071
90,CONFIRMAR ORD-ABC123 15x la que tiene pollo * 4 hamburguesa * 60 piza mexicana * 3 esoaa * 1x haamburgesa clasica * 777 hamburguesa clasica ...,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.131
91,CONFIRMAR ORD-ABC123 15x pizzaa con 8 eso con 1 eso porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.066
92,CONFIRMAR ORD-ABC123 1x cocacola cola,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.051
93,* 4 agua mineral,adversarial_2k,demo,ok,"[{""product"": ""Agua Mineral"", ""quantity"": 4}]",[],False,False,0.473
94,* 2333 pizza ranchera,adversarial_2k,demo,needs_clarification,"[{""product"": ""Pizza Margarita"", ""quantity"": 2333}]",[],True,False,0.505
95,CONFIRMAR ORD-ABC123 2 algo rico * 1 pizzza mexiicana * x60 hbogruesa * 15 cocaa cola * 2333 haamburguesa meega 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.122
96,CONFIRMAR ORD-ABC123 2 algo rico e 5 algo rico e 3x haambburguesa  doble po e x7 gaseosa sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.103
97,CONFIRMAR ORD-ABC123 2 hamburguesa mega (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.034
98,CONFIRMAR ORD-ABC123 2 piza * 8 piza mexicana * 15 la que tiene pollo * 1 pizza hawaiana * 10 aalgo rriicco * 10 haabasurguuesaa doblee p porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.14
99,CONFIRMAR ORD-ABC123 2 piza 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.024
100,CONFIRMAR ORD-ABC123 2 pizza mexicana con 8 combo familiar con x2 burger con 15 tacos con dos pizza de jamon y que con 10 hamburgesa clasica (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.14
101,CONFIRMAR ORD-ABC123 2 refresco + 10 cocacola + tres haamburguesa mega + 15 pizza de jamon y queso (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.099
102,CONFIRMAR ORD-ABC123 2333 hamburguesa doble pollo para llevar,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.052
103,CONFIRMAR ORD-ABC123 2333 lo mismo sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.04
104,CONFIRMAR ORD-ABC123 3 hbogruesa luego 4x la mega luego 2333 piza margarita luego unos cuantos ensalaada césar luego ocho hamburguesa luego 8 pizzaahawaiana,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.144
105,CONFIRMAR ORD-ABC123 3 la mega | x2 algo rico | unos cuantos cocaacola mañana,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.074
106,CONFIRMAR ORD-ABC123 4 coombo famiiliar aparte 2333 loo mmismmo aparte 3x haamburgesa clasica aparte ocho cocacola aparte 2333 pizza de jamon y queso aparte 777 tacos (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.152
107,CONFIRMAR ORD-ABC123 4 habasurguesa doble pollo ; 15 coca cola ???,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.056
108,CONFIRMAR ORD-ABC123 4 piizza mmexicana y 12 ensalada césar (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.055
109,CONFIRMAR ORD-ABC123 4 pizzza mexiccana ; 1 gaseoosa ; x2333 papas fritas ; 8x burger ; 60x cocacolacola para llevar,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.101
110,CONFIRMAR ORD-ABC123 5 coca cola porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.033
111,CONFIRMAR ORD-ABC123 5 hamburguesa doble pollo tambien quiero unos cuantos paapas fritas tambien quiero 2 pizza de jamon y queso tambien quiero 15 gaseosa tambien quiero 5 hambburgueesa dobble  po tambien quiero x1 eensalada ccesaar (),adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.211
112,CONFIRMAR ORD-ABC123 5 piza ranchera aparte 2 agua mineral aparte 2333 algo rico aparte x5 refresco porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.095
113,CONFIRMAR ORD-ABC123 5 pizza de jamon y queso + x3 piza margarita + 1 cerveza + 777 piizzahawwaiiana sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.106
114,CONFIRMAR ORD-ABC123 5 pizzaa con 2333 refrescoaa con 8 pizza de jamon y queso con x10 laa mega 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.102
115,CONFIRMAR ORD-ABC123 5x pizza mexicana tambien quiero x7 agua mineral tambien quiero 4 ensalada cesar 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.094
116,CONFIRMAR ORD-ABC123 60 coca cola ???,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.03
117,CONFIRMAR ORD-ABC123 60 ensalada césar,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.031
118,CONFIRMAR ORD-ABC123 60 hamburguesa doble carne ademas x2 hamburguesa doble pollo,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.066
119,CONFIRMAR ORD-ABC123 60 la mega e 2x esoaa e un par de combo familiar e x15 hamburguesa dooble po e 1 papas fritas e x2 piza ranchera 🍕🍔,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.135
120,CONFIRMAR ORD-ABC123 60 pizza tambien quiero 12123 ensaalada cesar tambien quiero 12 papas fritas tambien quiero 2 combo familiar tambien quiero 10x burger tambien quiero un par de haamburguesa mega ...,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.17
121,CONFIRMAR ORD-ABC123 60 pizzahawaiana porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.031
122,CONFIRMAR ORD-ABC123 60 refresco porfa,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.03
123,CONFIRMAR ORD-ABC123 60 soda & unos cuantos la que tiene pollo sin cebolla,adversarial_2k,demo,needs_clarification,[],"[""comando admin""]",False,False,0.073
