linea,frase,menu,status,items,unknown,needs_review,fail_safe,user_intent,tiempo_ms
35,deme 2x hamburguesa mega aparte una torta de milanesa aparte 3 papas grandes por favor,real,needs_clarification,[],"[""2x hamburguesa mega"", ""una torta de milanesa"", ""3 papas grandes por favor""]",True,True,,1.636
36,te encargo 3 coca cola sin azúcar aparte 5 pizza pizza margarita plis,real,needs_clarification,[],"[""te encargo"", ""3 coca cola sin azucar"", ""5 pizza pizza margarita plis""]",True,True,,1.597
37,me das doce pizza ranchera luego 12 ensalada cesar nomás,real,needs_clarification,[],"[""me das"", ""doce pizza ranchera"", ""12 ensalada cesar nomas""]",True,True,,1.316
38,cinco té helado además 8 agua mineral además 1 pizza pizza ranchera,real,needs_clarification,[],"[""cinco te helado"", ""8 agua mineral"", ""1 pizza pizza ranchera""]",True,True,,1.418
39,me traes diez ensalada ensalada mixta gracias,real,needs_clarification,[],"[""me traes"", ""diez ensalada ensalada mixta gracias""]",True,True,,1.227
40,"oye 10 nuggets de pollo, 6 agua embotellada please",real,needs_clarification,[],"[""10 nuggets de pollo"", ""6 agua embotellada please""]",True,True,,1.976
41,buen día 3 pizza pizza margarita también 6 papas fritas también 2x alitas de pollo también 2x café americano nada más,real,needs_clarification,[],"[""buen dia"", ""3 pizza pizza margarita"", ""6 papas fritas"", ""2x alitas de pollo"", ""2x cafe americano nada mas""]",True,True,,2.385
42,voy a querer seis hamburgesa con queso para aquí,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 1}]","[""seis hamburgesa con queso para aqui""]",True,False,,1.305
43,hey x6 hot dog sencillo porfa,real,needs_clarification,[],"[""hey"", ""x6 hot dog sencillo porfa""]",True,True,,1.018
44,disculpa un par de papas grandes; tres pizza margarita; 8 papas grandes; 4 tacos al pastor porfa,real,needs_clarification,[],"[""2 papas grandes"", ""tres pizza margarita"", ""8 papas grandes"", ""4 tacos al pastor porfa""]",True,True,,1.862
45,"necesito cinco hamburguesa con queso, 3 papas grandes, x2 coca cola, tres papas fritas nada más",real,needs_clarification,[],"[""cinco hamburguesa con queso"", ""3 papas grandes"", ""x2 coca cola"", ""tres papas fritas nada mas""]",True,True,,1.901
46,1 hamburguesa hamburguesa mega,real,needs_clarification,[],"[""1 hamburguesa hamburguesa mega""]",True,True,,0.837
47,porfa un par de nuggets de pollo; un hamburguesa hamburguesa doble pollo; 6 quesadilla de queso para aquí,real,needs_clarification,[],"[""2 nuggets de pollo"", ""un hamburguesa hamburguesa doble pollo"", ""6 quesadilla de queso para aqui""]",True,True,,1.748
48,"disculpa 4 coca cola, un par de ensalada mixta, un par de orden de aros de cebolla por favor",real,needs_clarification,[],"[""4 coca cola"", ""2 ensalada mixta"", ""2 orden de aros de cebolla por favor""]",True,True,,1.401
49,"te encargo 4 hamburguesa doble pollo, 5x coca cola sin azúcar, 3 pizza margarita, x3 burrito de frijol nomás",real,needs_clarification,[],"[""te encargo"", ""4 hamburguesa doble pollo"", ""5x coca cola sin azucar"", ""3 pizza margarita"", ""x3 burrito de frijol nomas""]",True,True,,2.159
50,3 burrito de frijol | x2 pizza de pizza de jamón y queso | seis agua embotellada | 8x burrito de frijol,real,needs_clarification,[],"[""3 burrito de frijol"", ""x2 pizza de pizza de jamon y queso"", ""seis agua embotellada"", ""8x burrito de frijol""]",True,True,,3.078
51,me pones 3 pizza mexicana + 10 pizza mexicana + 8 café americano porfa,real,needs_clarification,[],"[""me pones"", ""3 pizza mexicana"", ""10 pizza mexicana"", ""8 cafe americano porfa""]",True,True,,1.872
52,hola buenas un par de hamburguesa mega y 12x pizza de jamón y queso y una docena de alitas de pollo y 4x nuggets de pollo porfa,real,needs_clarification,[],"[""2 hamburguesa mega"", ""12x pizza de jamon y queso"", ""12 alitas de pollo y"", ""4x nuggets de pollo porfa""]",True,True,,2.191
53,cambia cinco quesadilla de queso por ocho pizza pizza ranchera,real,needs_clarification,[],"[""cambia"", ""cinco quesadilla de queso por"", ""ocho pizza pizza ranchera""]",True,True,,1.554
54,me gustaría 1 burrito de frijol también 10 pizza hawaiana también 2 orden de aros de cebolla también cuatro nuggets de pollo nomás,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 10}]","[""1 burrito de frijol"", ""2 orden de aros de cebolla"", ""cuatro nuggets de pollo nomas""]",False,False,,1.703
55,deme 10 ensalada ensalada césar | dos coca cola nomás,real,needs_clarification,[],"[""10 ensalada ensalada cesar"", ""dos coca cola nomas""]",True,True,,1.258
56,pedido: 5 quesadilla de queso | 3 pizza ranchera | una docena de papas fritas,real,needs_clarification,[],"[""5 quesadilla de queso"", ""3 pizza ranchera"", ""12 papas fritas""]",True,True,,1.58
57,me mandas 3 burrito de frijol luego tres papas grandes para aquí,real,needs_clarification,[],"[""me mandas"", ""3 burrito de frijol"", ""tres papas grandes para aqui""]",True,True,,1.702
58,5 coca cola sin azúcar luego un par de nuggets de pollo,real,needs_clarification,[],"[""5 coca cola sin azucar"", ""2 nuggets de pollo""]",True,True,,1.302
59,"pedido: ocho hot dog sencillo, 4 jugo de naranja, 3x limonada natural, 2x tacos al pastor",real,needs_clarification,[],"[""ocho hot dog sencillo"", ""4 jugo de naranja"", ""3x limonada natural"", ""2x tacos al pastor""]",True,True,,3.247
60,te encargo 6 papas grandes | cuatro cocacola sin azúcar | 3 tacos al pastor | 4 pizza pizza mexicana plis,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 4}]","[""te encargo"", ""6 papas grandes"", ""3 tacos al pastor"", ""4 pizza pizza mexicana plis""]",False,False,,2.257
61,disculpa 2 coca cola sin azúcar también diez ensalada mixta también dos pizza de jamón y queso gracias,real,needs_clarification,[],"[""2 coca cola sin azucar"", ""diez ensalada mixta"", ""dos pizza de jamon y queso gracias""]",True,True,,1.898
62,buenas noches seis pizza hawaiana también seis agua embotellada para comer ahí,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 6}]","[""seis agua embotellada para comer ahi""]",False,False,,1.211
63,quiero 6 coca cola; 12 hamburguesa clásica por favor,real,needs_clarification,[],"[""6 coca cola"", ""12 hamburguesa clasica por favor""]",True,True,,1.219
64,una hot dog sencillo | 12 pizza mexicana | 12 ensalada mixta | x1 hamburguesa doble carne,real,needs_clarification,[],"[""una hot dog sencillo"", ""12 pizza mexicana"", ""12 ensalada mixta"", ""x1 hamburguesa doble carne""]",True,True,,2.017
65,buenos días 1x papas fritas para aquí,real,needs_clarification,[],"[""1x papas fritas para aqui""]",True,True,,1.037
66,2 coca cola sin azúcar además tres papas grandes además 3 coca cola además 3 papas grandes,real,needs_clarification,[],"[""2 coca cola sin azucar"", ""tres papas grandes"", ""3 coca cola"", ""3 papas grandes""]",True,True,,2.161
67,disculpa diez hamburgesa con queso + 4 pizza de jamón y queso + 1x hamburguesa hamburguesa clásica + 2 hot dog sencillo porfa,real,needs_clarification,[],"[""diez hamburgesa con queso"", ""4 pizza de jamon y queso"", ""1x hamburguesa hamburguesa clasica"", ""2 hot dog sencillo porfa""]",True,True,,2.566
68,ya no quiero 1 hamburguesa hamburguesa doble pollo,real,needs_clarification,[],"[""ya no quiero"", ""1 hamburguesa hamburguesa doble pollo""]",True,True,,1.838
69,pásame el menú,real,needs_clarification,[],"[""intención de menú""]",False,False,menu,0.574
70,"mi pedido: 8 quesadilla de queso, diez hot dog sencillo, 2 tacos al pastor, seis hamburgesa con queso",real,needs_clarification,[],"[""8 quesadilla de queso"", ""diez hot dog sencillo"", ""2 tacos al pastor"", ""seis hamburgesa con queso""]",True,True,,2.329
71,ponme 1 hamburgesa doble carne para llevar,real,needs_clarification,[],"[""1 hamburgesa doble carne para llevar""]",True,True,,1.11
72,un par de alitas de pollo aparte una pizza pizza pepperoni aparte ocho orden de aros de cebolla aparte seis burrito de frijol,real,needs_clarification,[],"[""2 alitas de pollo"", ""una pizza pizza pepperoni"", ""ocho orden de aros de cebolla"", ""seis burrito de frijol""]",True,True,,2.111
73,por favor 6 hamburguesa con queso luego 1 hamburguesa mega por favor,real,needs_clarification,[],"[""6 hamburguesa con queso"", ""1 hamburguesa mega por favor""]",True,True,,1.371
74,hola 5 pizza hawaiana y 2 hamburguesa doble carne por favor,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 5}]","[""2 hamburguesa doble carne por favor""]",False,False,,1.134
75,voy a querer 3 pizza ranchera también un hamburguesa con queso también dos burrito de frijol gracias,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 1}]","[""3 pizza ranchera"", ""un hamburguesa con queso"", ""dos burrito de frijol gracias""]",True,False,,2.07
76,me mandas 6 alitas de pollo también 10 tacos al pastor también x5 hamburguesa con queso nada más,real,needs_clarification,[],"[""me mandas"", ""6 alitas de pollo"", ""10 tacos al pastor"", ""x5 hamburguesa con queso nada mas""]",True,True,,1.992
77,porfa un par de ensalada césar aparte 4 hamburguesa con queso,real,needs_clarification,[],"[""2 ensalada cesar"", ""4 hamburguesa con queso""]",True,True,,1.378
78,voy a querer diez ensalada ensalada mixta,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 1}]","[""diez ensalada ensalada mixta""]",True,False,,2.084
79,mostrar carta,real,needs_clarification,[],"[""intención de menú""]",False,False,menu,0.648
80,buen día 10 papas grandes también 10 café americano también una docena de tacos al pastor plis,real,needs_clarification,[],"[""buen dia"", ""10 papas grandes"", ""10 cafe americano"", ""12 tacos al pastor plis""]",True,True,,1.954
81,oye cinco pizza mexicana aparte 3 ensalada mixta aparte 10 pizza pizza hawaiana aparte 3 nuggets de pollo por favor,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 10}]","[""cinco pizza mexicana"", ""3 ensalada mixta"", ""3 nuggets de pollo por favor""]",False,False,,1.555
82,3 pizza margarita,real,needs_clarification,[],"[""3 pizza margarita""]",True,True,,0.763
83,buenas tardes 8 piza mexicana luego 10 papas fritas luego ocho agua embotellada luego ocho quesadilla de queso gracias,real,needs_clarification,[],"[""8 piza mexicana"", ""10 papas fritas"", ""ocho agua embotellada"", ""ocho quesadilla de queso gracias""]",True,True,,2.058
84,necesito 3 tacos al pastor aparte 4x burrito de frijol nada más,real,needs_clarification,[],"[""3 tacos al pastor"", ""4x burrito de frijol nada mas""]",True,True,,1.245
85,6 pizza hawaiana,real,ok,"[{""product"": ""Hawaiana"", ""quantity"": 6}]",[],False,False,,0.607
86,cinco pizza pizza hawaiana | 3 hamburguesa clásica,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 5}]","[""3 hamburguesa clasica""]",False,False,,0.938
87,"disculpa 10 jugo de naranja, x3 pizza hawaiana, 1 agua embotellada para comer ahí",real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 3}]","[""10 jugo de naranja"", ""1 agua embotellada para comer ahi""]",False,False,,1.301
88,5 café americano,real,needs_clarification,[],"[""5 cafe americano""]",True,True,,0.748
89,"me das 5 torta de milanesa, 12x alitas de pollo, 3 hamburguesa hamburguesa doble pollo, 3 pizza pizza mexicana para llevar",real,needs_clarification,[],"[""me das"", ""5 torta de milanesa"", ""12x alitas de pollo"", ""3 hamburguesa hamburguesa doble pollo"", ""3 pizza pizza mexicana para llevar""]",True,True,,2.285
90,ponme doce burrito de frijol además 3 hamburguesa hamburguesa mega además x6 hamburguesa doble carne además 2 hot dog sencillo para comer ahí,real,needs_clarification,[],"[""doce burrito de frijol"", ""3 hamburguesa hamburguesa mega"", ""x6 hamburguesa doble carne"", ""2 hot dog sencillo para comer ahi""]",True,True,,3.352
91,buen día tres pizza de jamón y queso + 6 agua embotellada + ocho hamburguesa mega + una docena de quesadilla de queso please,real,needs_clarification,[],"[""buen dia"", ""tres pizza de jamon y queso"", ""6 agua embotellada"", ""ocho hamburguesa mega"", ""12 quesadilla de queso please""]",True,True,,2.362
92,quiero 10 hamburguesa con queso | una alitas de pollo | 6 nuggets de pollo | seis coca cola,real,needs_clarification,[],"[""10 hamburguesa con queso"", ""una alitas de pollo"", ""6 nuggets de pollo"", ""seis coca cola""]",True,True,,1.813
93,te encargo 8 pizza pizza pepperoni para aquí,real,needs_clarification,[],"[""te encargo"", ""8 pizza pizza pepperoni para aqui""]",True,True,,1.124
94,en vez de ocho café americano pon 4x café americano,real,needs_clarification,[],"[""en vez de"", ""ocho cafe americano pon"", ""4x cafe americano""]",True,True,,1.366
95,hola buenas cuatro burrito de frijol también una limonada natural también 3 hamburguesa doble carne también 2 ensalada ensalada césar nomás,real,needs_clarification,[],"[""cuatro burrito de frijol"", ""una limonada natural"", ""3 hamburguesa doble carne"", ""2 ensalada ensalada cesar nomas""]",True,True,,2.062
96,"hola buenas 2 hamburguesa hamburguesa doble pollo, tres torta de milanesa por favor",real,needs_clarification,[],"[""2 hamburguesa hamburguesa doble pollo"", ""tres torta de milanesa por favor""]",True,True,,1.364
97,3 limonada natural,real,needs_clarification,[],"[""3 limonada natural""]",True,True,,0.759
98,2 hamburguesa doble carne además 8 ensalada ensalada césar además tres hamburguesa hamburguesa doble pollo,real,needs_clarification,[],"[""2 hamburguesa doble carne"", ""8 ensalada ensalada cesar"", ""tres hamburguesa hamburguesa doble pollo""]",True,True,,1.878
99,te encargo 3 hamburguesa hamburguesa con queso | 3 burrito de frijol please,real,needs_clarification,[],"[""te encargo"", ""3 hamburguesa hamburguesa con queso"", ""3 burrito de frijol please""]",True,True,,2.609
100,ya no quiero 3 ensalada césar,real,needs_clarification,[],"[""ya no quiero"", ""3 ensalada cesar""]",True,True,,1.193
101,buenos días 10 agua embotellada; 8 alitas de pollo nomás,real,needs_clarification,[],"[""10 agua embotellada"", ""8 alitas de pollo nomas""]",True,True,,1.208
102,necesito tres torta de milanesa aparte 8 hamburguesa doble pollo aparte 12 coca cola sin azúcar aparte 8x hamburgesa con queso gracias,real,needs_clarification,[],"[""tres torta de milanesa"", ""8 hamburguesa doble pollo"", ""12 coca cola sin azucar"", ""8x hamburgesa con queso gracias""]",True,True,,2.294
103,buenas tardes ocho limonada natural también dos coca cola nomás,real,needs_clarification,[],"[""ocho limonada natural"", ""dos coca cola nomas""]",True,True,,1.129
104,"disculpa 1x jugo de naranja, una docena de coca cola sin azúcar, 12 papas grandes para llevar",real,needs_clarification,[],"[""1x jugo de naranja"", ""12 coca cola sin azucar"", ""12 papas grandes para llevar""]",True,True,,1.607
105,hey ocho té helado luego ocho hamburguesa doble carne please,real,needs_clarification,[],"[""hey"", ""ocho te helado"", ""ocho hamburguesa doble carne please""]",True,True,,1.478
106,hola buenas diez pizza ranchera | cinco papas fritas | 1 limonada natural | 3 hamburguesa doble carne nomás,real,needs_clarification,[],"[""diez pizza ranchera"", ""cinco papas fritas"", ""1 limonada natural"", ""3 hamburguesa doble carne nomas""]",True,True,,1.865
107,me traes 8 papas fritas aparte ocho pizza pepperoni porfa,real,needs_clarification,[],"[""me traes"", ""8 papas fritas"", ""ocho pizza pepperoni porfa""]",True,True,,1.361
108,dame 2 nuggets de pollo aparte x3 pizza pizza mexicana para comer ahí,real,needs_clarification,[],"[""2 nuggets de pollo"", ""x3 pizza pizza mexicana para comer ahi""]",True,True,,1.408
109,ponme 5x ensalada césar además 1 jugo de naranja además 12 hamburguesa clásica además una agua embotellada please,real,needs_clarification,[],"[""5x ensalada cesar"", ""1 jugo de naranja"", ""12 hamburguesa clasica"", ""una agua embotellada please""]",True,True,,3.869
110,8 coca cola,real,needs_clarification,[],"[""8 coca cola""]",True,True,,1.198
111,"mi pedido: ocho tacos al pastor, 12 pizza mexicana, doce burrito de frijol, cinco hamburguesa mega",real,needs_clarification,[],"[""ocho tacos al pastor"", ""12 pizza mexicana"", ""doce burrito de frijol"", ""cinco hamburguesa mega""]",True,True,,1.988
112,doce papas fritas,real,needs_clarification,[],"[""doce papas fritas""]",True,True,,0.782
113,hola 8 jugo de naranja | 1 hamburgesa con queso | 8 tacos al pastor gracias,real,needs_clarification,[],"[""8 jugo de naranja"", ""1 hamburgesa con queso"", ""8 tacos al pastor gracias""]",True,True,,1.656
114,quiero 1 tacos al pastor también 10 jugo de naranja también 6 hamburguesa con queso también dos ensalada mixta para comer ahí,real,needs_clarification,[],"[""1 tacos al pastor"", ""10 jugo de naranja"", ""6 hamburguesa con queso"", ""dos ensalada mixta para comer ahi""]",True,True,,2.165
115,hola tres alitas de pollo para aquí,real,needs_clarification,[],"[""tres alitas de pollo para aqui""]",True,True,,0.908
116,buenas tardes tres hamburguesa mega,real,needs_clarification,[],"[""tres hamburguesa mega""]",True,True,,0.796
117,me das 10x quesadilla de queso please,real,needs_clarification,[],"[""me das"", ""10x quesadilla de queso please""]",True,True,,1.031
118,me das doce quesadilla de queso luego 6 hot dog sencillo,real,needs_clarification,[],"[""me das"", ""doce quesadilla de queso"", ""6 hot dog sencillo""]",True,True,,1.471
119,un par de hamburguesa hamburguesa con queso,real,needs_clarification,[],"[""2 hamburguesa hamburguesa con queso""]",True,True,,0.929
120,cinco tacos al pastor,real,needs_clarification,[],"[""cinco tacos al pastor""]",True,True,,0.888
121,para pedir x1 agua mineral + un par de papas fritas + 8 coca cola + 10 orden de aros de cebolla please,real,needs_clarification,[],"[""x1 agua mineral"", ""2 papas fritas"", ""8 coca cola"", ""10 orden de aros de cebolla please""]",True,True,,3.57
122,para pedir 8 hamburguesa clásica además seis coca cola sin azúcar además 6 hot dog sencillo nomás,real,needs_clarification,[],"[""8 hamburguesa clasica"", ""seis coca cola sin azucar"", ""6 hot dog sencillo nomas""]",True,True,,1.757
123,hola buenas cinco pizza pepperoni; un par de papas fritas nada más,real,needs_clarification,[],"[""cinco pizza pepperoni"", ""2 papas fritas nada mas""]",True,True,,1.143
124,2 papas grandes + 4 hamburguesa hamburguesa con queso,real,needs_clarification,[],"[""2 papas grandes"", ""4 hamburguesa hamburguesa con queso""]",True,True,,1.304
125,hola doce hamburguesa doble pollo luego 2 pizza ranchera luego doce ensalada mixta para aquí,real,needs_clarification,[],"[""doce hamburguesa doble pollo"", ""2 pizza ranchera"", ""doce ensalada mixta para aqui""]",True,True,,1.67
126,disculpa 12 hot dog sencillo para comer ahí,real,needs_clarification,[],"[""12 hot dog sencillo para comer ahi""]",True,True,,0.96
127,cinco pizza de jamón y queso luego diez hamburguesa mega luego 6 agua mineral,real,needs_clarification,[],"[""cinco pizza de jamon y queso"", ""diez hamburguesa mega"", ""6 agua mineral""]",True,True,,1.546
128,qué tal 5 pizza pizza hawaiana | 12 papas grandes para aquí,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 5}]","[""que tal"", ""12 papas grandes para aqui""]",False,False,,1.262
129,ponme diez coca cola luego 3x jugo de naranja luego 3 pizza pizza pepperoni luego 10 agua mineral nada más,real,needs_clarification,[],"[""diez coca cola"", ""3x jugo de naranja"", ""3 pizza pizza pepperoni"", ""10 agua mineral nada mas""]",True,True,,1.777
130,me gustaría 8x jugo de naranja; 2 hamburguesa clásica; 12 café americano para llevar,real,needs_clarification,[],"[""8x jugo de naranja"", ""2 hamburguesa clasica"", ""12 cafe americano para llevar""]",True,True,,1.586
131,buenas tardes dos pizza mexicana y un par de burrito de frijol y 6 café americano y 4 coca cola nada más,real,needs_clarification,[],"[""dos pizza mexicana"", ""2 burrito de frijol y"", ""6 cafe americano"", ""4 coca cola nada mas""]",True,True,,4.032
132,porfa dos orden de aros de cebolla + 8 café americano please,real,needs_clarification,[],"[""dos orden de aros de cebolla"", ""8 cafe americano please""]",True,True,,1.179
133,buenas tardes 1x pizza margarita y 8 nuggets de pollo y x2 té helado gracias,real,needs_clarification,[],"[""1x pizza margarita"", ""8 nuggets de pollo y"", ""x2 te helado gracias""]",True,True,,1.584
134,disculpa un par de agua embotellada y dos hamburguesa hamburguesa clásica please,real,needs_clarification,[],"[""2 agua embotellada"", ""dos hamburguesa hamburguesa clasica please""]",True,True,,1.239
135,8 pizza ranchera | x10 hamburguesa hamburguesa con queso | 10 limonada natural,real,needs_clarification,[],"[""8 pizza ranchera"", ""x10 hamburguesa hamburguesa con queso"", ""10 limonada natural""]",True,True,,1.516
136,deme 8 hamburguesa con queso también 3 alitas de pollo también 1 coca cola también 10 limonada natural para llevar,real,needs_clarification,[],"[""8 hamburguesa con queso"", ""3 alitas de pollo"", ""1 coca cola"", ""10 limonada natural para llevar""]",True,True,,1.935
137,necesito 1 alitas de pollo please,real,needs_clarification,[],"[""1 alitas de pollo please""]",True,True,,0.805
138,"para pedir 3 agua embotellada, 6 pizza pepperoni, 8 agua embotellada plis",real,needs_clarification,[],"[""3 agua embotellada"", ""6 pizza pepperoni"", ""8 agua embotellada plis""]",True,True,,1.377
139,"tres ensalada césar, doce ensalada césar, 4 ensalada ensalada césar, 2 té helado",real,needs_clarification,[],"[""tres ensalada cesar"", ""doce ensalada cesar"", ""4 ensalada ensalada cesar"", ""2 te helado""]",True,True,,1.761
140,12 burrito de frijol,real,needs_clarification,[],"[""12 burrito de frijol""]",True,True,,0.814
141,quisiera 2 limonada natural además 2 torta de milanesa además 3 hamburguesa hamburguesa con queso por favor,real,needs_clarification,[],"[""2 limonada natural"", ""2 torta de milanesa"", ""3 hamburguesa hamburguesa con queso por favor""]",True,True,,3.221
142,hola 10 pizza mexicana nada más,real,needs_clarification,[],"[""10 pizza mexicana nada mas""]",True,True,,0.868
143,me traes 1 limonada natural y un par de agua embotellada y 3 coca cola sin azúcar y x6 papas fritas nada más,real,needs_clarification,[],"[""me traes"", ""1 limonada natural"", ""2 agua embotellada"", ""3 coca cola sin azucar"", ""x6 papas fritas nada mas""]",True,True,,2.14
144,3 hamburguesa con queso + 2 pizza pepperoni + 4 limonada natural + 8 orden de aros de cebolla + 12 alitas de pollo,real,needs_clarification,[],"[""3 hamburguesa con queso"", ""2 pizza pepperoni"", ""4 limonada natural"", ""8 orden de aros de cebolla"", ""12 alitas de pollo""]",True,True,,2.116
145,me das tres agua embotellada | 6 torta de milanesa | x8 pizza hawaiana | 2 burrito de frijol porfa,real,needs_clarification,"[{""product"": ""Hawaiana"", ""quantity"": 8}]","[""me das"", ""tres agua embotellada"", ""6 torta de milanesa"", ""2 burrito de frijol porfa""]",False,False,,1.673
146,voy a querer 5 pizza margarita; un par de alitas de pollo; 10 ensalada mixta nomás,real,needs_clarification,"[{""product"": ""cocacola"", ""quantity"": 1}]","[""5 pizza margarita"", ""2 alitas de pollo"", ""10 ensalada mixta nomas""]",True,False,,1.748
147,hola 10 agua embotellada + 5 pizza piza ranchera + 1 agua mineral + seis agua embotellada para aquí,real,needs_clarification,[],"[""10 agua embotellada"", ""5 pizza piza ranchera"", ""1 agua mineral"", ""seis agua embotellada para aqui""]",True,True,,1.776
